V1.V,P(D1)/-P(V1) when R1.R is 95,P(D1)/-P(V1) when R1.R is 100,P(D1)/-P(V1) when R1.R is 105,I(D1.nA) when R1.R is 95,I(D1.nA) when R1.R is 100,I(D1.nA) when R1.R is 105
0,,,,0,0,0
0.01,0.999985801,0.999985053,0.999984306,1.49E-09,1.49E-09,1.49E-09
0.02,0.99998527,0.999984494,0.999983719,3.10E-09,3.10E-09,3.10E-09
0.03,0.999984713,0.999983908,0.999983103,4.83E-09,4.83E-09,4.83E-09
0.04,0.999984127,0.999983292,0.999982457,6.68E-09,6.68E-09,6.68E-09
0.05,0.999983513,0.999982645,0.999981778,8.68E-09,8.68E-09,8.68E-09
0.06,0.999982867,0.999981966,0.999981064,1.08E-08,1.08E-08,1.08E-08
0.07,0.999982189,0.999981251,0.999980314,1.31E-08,1.31E-08,1.31E-08
0.08,0.999981475,0.9999805,0.999979526,1.56E-08,1.56E-08,1.56E-08
0.09,0.999980725,0.999979711,0.999978696,1.83E-08,1.83E-08,1.83E-08
0.1,0.999979936,0.99997888,0.999977824,2.11E-08,2.11E-08,2.11E-08
0.11,0.999979106,0.999978007,0.999976907,2.42E-08,2.42E-08,2.42E-08
0.12,0.999978233,0.999977087,0.999975941,2.75E-08,2.75E-08,2.75E-08
0.13,0.999977313,0.999976119,0.999974925,3.10E-08,3.10E-08,3.10E-08
0.14,0.999976345,0.9999751,0.999973855,3.49E-08,3.49E-08,3.49E-08
0.15,0.999975325,0.999974027,0.999972728,3.90E-08,3.90E-08,3.90E-08
0.16,0.999974251,0.999972896,0.999971541,4.34E-08,4.34E-08,4.34E-08
0.17,0.999973119,0.999971705,0.99997029,4.81E-08,4.81E-08,4.81E-08
0.18,0.999971927,0.999970449,0.999968972,5.32E-08,5.32E-08,5.32E-08
0.19,0.999970669,0.999969126,0.999967582,5.87E-08,5.87E-08,5.87E-08
0.2,0.999969343,0.99996773,0.999966117,6.45E-08,6.45E-08,6.45E-08
0.21,0.999967945,0.999966258,0.999964571,7.09E-08,7.09E-08,7.09E-08
0.22,0.99996647,0.999964705,0.999962941,7.76E-08,7.76E-08,7.76E-08
0.23,0.999964914,0.999963067,0.999961221,8.49E-08,8.49E-08,8.49E-08
0.24,0.999963271,0.999961338,0.999959405,9.28E-08,9.28E-08,9.28E-08
0.25,0.999961537,0.999959513,0.999957489,1.01E-07,1.01E-07,1.01E-07
0.26,0.999959707,0.999957586,0.999955466,1.10E-07,1.10E-07,1.10E-07
0.27,0.999957774,0.999955551,0.999953329,1.20E-07,1.20E-07,1.20E-07
0.28,0.999955732,0.999953402,0.999951072,1.30E-07,1.30E-07,1.30E-07
0.29,0.999953574,0.999951131,0.999948688,1.42E-07,1.42E-07,1.42E-07
0.3,0.999951295,0.999948732,0.999946169,1.54E-07,1.54E-07,1.54E-07
0.31,0.999948886,0.999946196,0.999943506,1.67E-07,1.67E-07,1.67E-07
0.32,0.999946339,0.999943515,0.999940692,1.81E-07,1.81E-07,1.81E-07
0.33,0.999943647,0.999940681,0.999937716,1.96E-07,1.96E-07,1.96E-07
0.34,0.999940799,0.999937684,0.999934569,2.12E-07,2.12E-07,2.12E-07
0.35,0.999937788,0.999934514,0.99993124,2.29E-07,2.29E-07,2.29E-07
0.36,0.999934602,0.999931161,0.999927719,2.48E-07,2.48E-07,2.48E-07
0.37,0.999931231,0.999927612,0.999923994,2.68E-07,2.68E-07,2.68E-07
0.38,0.999927664,0.999923858,0.999920051,2.89E-07,2.89E-07,2.89E-07
0.39,0.999923888,0.999919883,0.999915878,3.12E-07,3.12E-07,3.12E-07
0.4,0.999919891,0.999915676,0.999911461,3.37E-07,3.37E-07,3.37E-07
0.41,0.999915659,0.999911222,0.999906784,3.64E-07,3.64E-07,3.64E-07
0.42,0.999911178,0.999906504,0.999901831,3.93E-07,3.93E-07,3.93E-07
0.43,0.999906431,0.999901508,0.999896585,4.24E-07,4.24E-07,4.24E-07
0.44,0.999901404,0.999896216,0.999891029,4.57E-07,4.57E-07,4.57E-07
0.45,0.999896077,0.999890609,0.999885142,4.92E-07,4.92E-07,4.92E-07
0.46,0.999890432,0.999884668,0.999878903,5.31E-07,5.31E-07,5.31E-07
0.47,0.99988445,0.999878371,0.999872292,5.72E-07,5.72E-07,5.72E-07
0.48,0.999878109,0.999871697,0.999865285,6.16E-07,6.16E-07,6.16E-07
0.49,0.999871388,0.999864622,0.999857857,6.63E-07,6.63E-07,6.63E-07
0.5,0.999864261,0.999857121,0.999849981,7.14E-07,7.14E-07,7.14E-07
0.51,0.999856704,0.999849166,0.999841629,7.69E-07,7.69E-07,7.69E-07
0.52,0.999848689,0.99984073,0.999832772,8.28E-07,8.28E-07,8.28E-07
